id,ref_id,additional_id,segment_number,technology,hierarchy,length,specification,start_equipment_id,end_equipment_id,core_count,designation,start_structure_id,start_structure_key,end_structure_id,end_structure_key,object_status,owner,placement_type,start_equipment_port_id,end_equipment_port_id,remediation,remediation_specification,remediation_desc,leadin_cable_transfer,asset_transfer,network_key,project_code,project_number
4RBN-20-18-FSD-305,,,1,FIBRE,FSD,167.5,FSD_CORNING_12_RIBBON,4RBN-20-18-MPT-001,4RBN-20-18-FJL-301,12,,4RBN-20-18-PIT-001,N1381632172,1804657875,N1381632089,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-18-FSD-301,,,1,FIBRE,FSD,167.5,FSD_CORNING_1_ROC,4RBN-20-18-MPT-001,4RBN-20-18-FJL-301,1,,4RBN-20-18-PIT-001,N1381632172,1804657875,N1381632089,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-18-FSD-302,,,1,FIBRE,FSD,167.5,FSD_CORNING_1_ROC,4RBN-20-18-MPT-001,4RBN-20-18-FJL-301,1,,4RBN-20-18-PIT-001,N1381632172,1804657875,N1381632089,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-18-FSD-303,,,1,FIBRE,FSD,167.5,FSD_CORNING_1_ROC,4RBN-20-18-MPT-001,4RBN-20-18-FJL-301,1,,4RBN-20-18-PIT-001,N1381632172,1804657875,N1381632089,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-18-FSD-304,,,1,FIBRE,FSD,167.5,FSD_CORNING_1_ROC,4RBN-20-18-MPT-001,4RBN-20-18-FJL-301,1,,4RBN-20-18-PIT-001,N1381632172,1804657875,N1381632089,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-18-SDS-790,,,1,FIBRE,SDS,231.6,SDS_CORNING_1_ROC,4RBN-20-18-SMP-654,4RBN-20-18-PCD-790,1,,1805235112,N1760909622,15000822729,N1802043661,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-18-SDS-791,,,1,FIBRE,SDS,231.6,SDS_CORNING_1_ROC,4RBN-20-18-SMP-654,4RBN-20-18-PCD-791,1,,1805235112,N1760909622,15000822729,N1802043661,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-00-DSS-027,,,1,FIBRE,DSS,235.3,DSS_CORNING_12_RIBBON,4RBN-20-00-DJL-010,4RBN-20-18-MPT-001,12,,9.00E+17,N1792358990,4RBN-20-18-PIT-001,N1381632172,INSERVICE,NBN,Underground,,,,,,,N,N1381963162,,
4RBN-20-17-SDS-642,,,1,FIBRE,SDS,37.5,SDS_CORNING_1_ROC,4RBN-20-17-SMP-643,4RBN-20-17-PCD-642,1,,1804657897,N1381625390,1804658464,N1802046296,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-17-SDS-643,,,1,FIBRE,SDS,37.5,SDS_CORNING_1_ROC,4RBN-20-17-SMP-643,4RBN-20-17-PCD-643,1,,1804657897,N1381625390,1804658464,N1802046296,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-17-SDS-655,,,1,FIBRE,SDS,76.6,SDS_CORNING_1_ROC,4RBN-20-17-SMP-643,4RBN-20-17-PCD-655,1,,1804657897,N1381625390,1804600814,N1802050050,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-17-SDS-657,,,1,FIBRE,SDS,76.6,SDS_CORNING_1_ROC,4RBN-20-17-SMP-643,4RBN-20-17-PCD-657,1,,1804657897,N1381625390,1804600814,N1802050050,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-17-SDS-865,,,1,FIBRE,SDS,20,SDS_CORNING_1_ROC,4RBN-20-17-CAP-644,4RBN-20-17-PCD-865,1,,T-4RBN-20-01-NEC-661,,T-4RBN-20-01-NEC-661,,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
4RBN-20-17-SDS-866,,,1,FIBRE,SDS,20,SDS_CORNING_1_ROC,4RBN-20-17-CAP-644,4RBN-20-17-PCD-866,1,,T-4RBN-20-01-NEC-661,,T-4RBN-20-01-NEC-661,,PLANNED,NBN,Underground,,,,,,,N,,N2P-NEW,FINANCE-N2P
